NUM,EXPECTED,CXM20B_qwerty,# characters,edit distance
68,佢係啦佢撞係啦咁就要即刻要去睇牙醫啦,佢係喇佢撞係喇噉就要即刻要去睇牙醫喇,18,4
69,咁之前又又整過塊面又整過啫係佢,噉知前又又整過塊面又整過啫係佢,15,2
70,跌倒咗好多次咁樣,跌倒咗好多次咁樣,8,0
71,所以佢佢啲意外就比較深刻啲囉,所以佢佢啲意外就比較深黑啲囖,14,2
72,但係我都有嘅但係我可能個冇咁冇咁誇張囉,但係我都有嘅但係我可能個冇咁冇咁誇張囉,19,0
73,輕微啲嘅意外囉,興微啲嘅意外囉,7,1
74,係咪呀,係咪啊,3,1
75,真係慘呀,真係慘啊,4,1
77,我嗰層都有我諗八户定十户啦,我嗰層都有我諗八護定十護喇,13,3
78,但係其實我淨係知道有兩家人嘅存在囉,但係其實我淨係知度有兩加人嘅全在囖,17,4
79,啫係我淨係見過佢地我知道佢地姓乜野,遮係我淨係見過佢哋我知度佢哋性乜嘢,17,6
80,屋企有啲咩人但係其實就真係唔係好熟囉,屋企有啲咩人但係其實就真係唔係好熟囖,18,1
81,係啦經過會咁樣囉嗯,係啦經過會咁樣囉,9,1
84,應該會打俾屋企人先嘅,應該會打俾屋企人先嘅,10,0
85,咁如果係啲屋企有意外呀或者係屋企需要人幫嘅時候呢,噉如果係啲屋企有意外啊或者係屋企需要人幫嘅時候呢,24,2
86,咁其實屋企附近可能唔係直接鄰居啫係唔係住隔離屋啦,噉其實屋企附近可能唔係直接倫居啫係唔係住隔離屋喇,24,3
87,但係喺隔離座呀或者係再遠啲嗰啲屋邨呢其實有啲相熟啲嘅朋友嘅,但係喺隔離座啊或者係再遠啲嗰啲屋穿呢其實有啲箱熟啲嘅朋友嘅,29,3
88,咁好似頭先講幼稚園朋友個屋企人咁樣啦,噉好似頭先講幼自院朋有個屋企人噉樣喇,18,6
89,啫係有事嘅時候可能會搵咗屋企人先,遮係有事嘅時候可能會揾咗屋企人先,16,2
90,但係都唔得嘅時候就會搵呢啲朋友囉,但係都唔得嘅時候就會揾呢啲朋友囖,16,2
93,應該唔算好親密囉,應該唔算好親密囖,8,1
94,因為我知道有其他人可能係同朋啫係同鄰居係熟到係邀請埋佢地返屋企呀,因為我知度有其他人可能係同朋啫係同倫居係屬到係腰請埋佢哋返屋企啊,32,6
95,或者一齊食飯呀定定有過時過節嘅時候一齊食,或者一齊食飯呀定定有過時過節嘅時候一齊食,20,0
96,啫係有啲我識到有朋友係個鄰居嘅關係係真係咁,遮係有啲我識到有朋友係個倫居嘅關係係真係噉,21,3
97,但係我覺得我自己嘅鄰居關係可能唔係去到咁親密住囉,但係我覺得我自己嘅輪居關係可能唔係去到咁親密住囉,24,1
98,嗯,嗯,1,0
101,應該係有嘅但係,應該係有嘅但係,7,0
102,就真係係啦玩完就唔記得咗,就真係係喇玩完就唔記得咗,12,1
103,係啦唔記得咗,係喇唔記得咗,6,1
107,我諗最深啫係細個時候最深刻就係,我諗最心遮係細個時候最心黑就係,15,4
108,通常係暑假嘅時候,通常係暑假嘅時候,8,0
109,因為我有親戚係住加拿大同埋美國,因為我有親U係住加拿大同埋美國,15,1
110,咁就暑假嘅時候其實每一年都會去探親友咁樣啦,噉就暑假嘅時候其實每一年都會去探親有噉樣喇,21,4
111,咁就係嗰段時間會最特別囉,噉就係嗰段時間會最特別囖,12,2
112,因為平時一年永遠都係返學,因為平時一年永遠都係返學,12,0
113,所以可能冇乜咁特別,所以可能冇乜咁特別,9,0
115,嗯係啦係啦,嗯係喇係喇,5,2
117,每年暑假都會過去係啦,每年暑假都會過去係嚹,10,1
119,係啦係起碼同香港嘅生活係唔同啲囉,係喇係起碼同香港嘅生活係唔同啲囖,16,2
121,鐘意呀,鍾意啊,3,2
123,佢如果去加拿大嘅時候就係去溫哥華,佢如果去加拿大嘅時候就係去U哥華,16,1
124,如果去美國嘅時候就去三藩市,如果去美國嘅時候就去三煩市,13,1
126,其實我諗我兩個地方都好鐘意嘅,其實我諗我兩個地方都好鍾意嘅,14,1
127,一定鐘意過香港某程度上,一定鍾意過香港某情度上,11,2
128,但係我諗因為我去溫哥華嘅次數係比較多嘅,但係我諗因為我去溫哥華嘅次數係比較多嘅,19,0
129,同埋同嗰邊嘅親戚可能係再熟啲咁樣啦,同埋同嗰邊嘅親U可能係再熟啲噉樣喇,17,3
130,成日見嘅咁可能對溫哥華嘅感覺係好啲囉,成日見嘅噉可能對U哥華嘅感覺係好啲囖,18,3
131,野食呀我諗,嘢食呀我諗,5,1
132,我諗去到嗰邊其實因為可能唐人或者華人比較多啦,我諗去到嗰邊其實因為可能堂人或者華人比較多喇,22,2
133,所以都都幾大機會係食返啲香港有嘅野,所以都都幾大機會係食返啲香港有嘅嘢,17,1
134,例如飲茶咁樣囉,例如飲茶噉樣囖,7,2
135,但係譬如去到美國有一個地方叫嘅,但係譬如去到美國有一個地方叫嘅,15,0
136,咁就會有嗰啲呀,噉就會有嗰啲啊,7,2
137,啫係嗰啲海鮮嗰啲嗰啲野食囉,遮係嗰啲海先嗰啲嗰啲嘢食囉,13,3
138,咁以前去過啫係以前去嘅時候就一定會食囉,噉以前去過啫係以前去嘅時候就一定會食囖,19,2
140,係啦係啦嗯,係喇係喇嗯,5,2
141,我諗其實樣樣野都鐘意食嘅,我諗其實樣樣嘢都鍾意食嘅,12,2
142,但係我覺得,但係我覺得,5,0
143,長遠嚟講我都會㨂返中餐因為覺得佢好似,長遠離講我都會揀返中餐因為覺得佢好似,18,2
144,比較呀,俾較呀,3,1
145,啫係佢,遮係佢,3,1
146,係啦係啦有家嘅感覺囉,係喇係喇有加嘅感覺囖,10,4
147,同埋佢啫係有多啲款式嘅菜囉,同埋佢啫係有多啲款色嘅菜囉,13,1
148,就唔係一定係哦炸呀定係煎呀咁樣囉,就唔係一定係哦咋啊定係煎啊噉樣囖,16,5
150,嗯都會掛住中餐係啦嗯,嗯都會掛住中餐係嚹嗯,10,1
152,旅行就,旅行就,3,0
153,都有嘅譬如喺喺亞洲去過,都有嘅譬如喺喺啊洲去過,11,1
154,韓國同埋日本,韓國同埋日本,6,0
155,咁樣啦咁,咁樣喇噉,4,2
156,就喺歐洲度就,就喺歐洲度就,6,0
157,中學同埋大學嘅時候都有機會去到幾個國家例如法國同埋英國咁樣囉,終學同埋大學嘅時候都有機會去到幾個國家例如法國同埋英國噉樣囖,30,3
159,某啲係跟學校遊學團嘅,某啲係跟學校遊學團嘅,10,0
160,啫係譬如中四嘅時候就去咗荷蘭同埋法國玩,遮係譬如中四嘅時候就去咗河欄同埋法國玩,19,3
161,咁大學嘅時候就去法國嘅係啦,噉大學嘅時候就去法國嘅係嚹,13,2
162,我諗難忘嘅野就係,我諗難忘嘅嘢就係,8,1
163,因為學校嗰個團呢其實就有嗰啲,因為學校嗰個團呢其實就有嗰啲,14,0
164,津貼嘅啫係食飯津貼嘅,樽貼嘅啫係食飯樽貼嘅,10,2
165,啫係每次食飯可能會派我諗十歐咁樣啦,遮係每次食飯可能會派我諗十歐噉樣喇,17,3
166,咁我記得我好似係有賺錢返到嚟嘅,噉我記得我可似係有賺錢返到離嘅,15,3
168,係啦啫係我冇食哂但係啲錢我袋住咗咁樣,係喇遮係我冇食晒但係啲錢我袋住咗咁樣,18,3
169,所以某程度上我記得係,所以某程度上我記得係,10,0
170,啫係如果係淨係計嗰啲野食嘅時候我係有賺到錢囉,遮係如果係靜係計嗰啲嘢食嘅時候我係有賺到錢囖,22,4
171,係啦係啦,係喇係喇,4,2
172,所以就賺咗錢返嚟嗯,所以就賺咗錢返來嗯,9,1
173,我諗如果要講呢樣野可能講返中三,我諗如果要講呢樣嘢可能講返鐘衫,15,3
174,跟學校去嘅,跟學校去嘅,5,0
175,咁去嘅時候呢就當然有嗰啲觀光嗰啲活動啦,噉去嘅時候呢就當然有嗰啲觀光嗰啲活動喇,19,2
176,但係其實一去到嘅時候呢最難忘就係,但係其實一去到嘅時候呢最難忘就係,16,0
177,我地去咗一個比較遠嘅一個咁樣啦,我哋去咗一個俾較遠嘅一個噉樣喇,15,4
178,咁就每一個學生都會被人分到去一啲咁樣嘅,噉就每一個學生都會俾恩分到去一啲噉樣嘅,19,4
179,咁我就喺一個屋企度住咗我諗大概四五日到啦,噉我就喺一個屋企度住咗我諗大概四五日到喇,20,2
180,咁嗰段時間係幾難忘,噉嗰段時間係幾難忘,9,1
181,因為你自己去嘅時候你冇冇機會會去到人地屋企度住囉,因為你自己去嘅時候你冇冇機會會去到人哋屋企度住囖,24,2
182,都幾好嘅但佢比較特別就係一個,都幾好嘅彈佢俾較特別就係一個,14,2
183,我諗都中年嘅女人加咗一個,我諗都鍾年嘅女人家咗一個,12,2
184,留學嘅一個男仔,流學嘅一個男仔,7,1
185,咁兩個人住㗎啫,噉兩個因住𡃉啫,7,3
187,係啦係啦佢本身已經緊一個但就長期啲囉,係喇係喇佢搬新已經𡁵一個彈就長其啲囖,18,8
188,啫係佢係可能住嗰度幾年咁樣,遮係佢係可能住嗰度幾年噉樣,13,2
189,咁我地就淨係住四五日咁樣囉,噉我哋就淨係住四五日噉樣囖,13,4
191,佢好似冇乜特別煮野食,佢好似冇乜特別煮嘢食,10,1
192,或者可能冇冇乜,或者可能冇冇乜,7,0
193,太可能特別嘅野食呀,太可能特別嘅嘢食啊,9,2
194,但係佢有去買啲嗰度當地嗰啲,但係佢有去買啲嗰度當地嗰啲,13,0
195,其實都係但係有自己嘅醬囉,其實都係但係有自己嘅障囖,12,2
196,係啦特所謂特別啲嘅一啲野食囉,係喇特所謂特別啲嘅一啲嘢食囖,14,3
197,個心情,個心情,3,0
198,當然一半係極度興奮啦,當然一半係極度興奮喇,10,1
199,因為首先可以離開香港去第二個地方體驗啦,因為首先可以離開香港去第二個地方體驗喇,19,1
200,但同時間呢我亦都,彈同時間呢我亦都,8,1
201,非常非常之緊張啦因為,非常非常之緊張啦因為,10,0
202,可能可能近排對,可能可能近排對,7,0
203,啫係歐洲呀或者法國呢啲國家嘅安全可能係真係有啲顧慮囉,遮係歐洲啊或者法國呢啲國家嘅安全河能係真係有啲故類囖,26,6
204,咁去之前都會擔心可能人生安全呀,噉去之前都會擔心可能人生安全啊,15,2
205,去到會唔會係融入唔到呀,去到會唔會係溶入唔到呀,11,1
206,或者係有啲咩要注意呀,或者係有啲咩要蛀意啊,10,2
207,咁特別係我去嘅地方呢就唔係巴黎嘅,噉特別係我去嘅地方呢就唔係巴來嘅,16,2
208,咁佢就係喺法國嘅北邊啦,噉佢就係喺法國嘅北變喇,11,3
209,咁就係一個更加多所謂嗰啲難民居住嘅地方啦個地區啦,噉就係一個更加多所謂嗰啲難文居住嘅地方喇個地區喇,24,4
210,所以啫係人地所周邊嘅人同我講嘅時候都係叫我要注意安全呀,所以遮係人哋所周邊嘅人同我講嘅時候都係叫我要蛀意安全啊,27,4
211,特別要留意到嗰啲情況呀,特別要留意到嗰啲清況啊,11,2
212,咁其實去之前都係啫係令到我非常緊張囉,噉其實去之前都係遮係令到我飛常𡁵張囖,18,5
214,一一去到,一一去到,4,0
216,我諗去到嘅時去到嘅時候其實都仲係好緊張囉因為,我諗去到嘅時去到嘅時候其實都重係好𡁵張囖因為,22,3
217,去到嘅時候我仲要係搭,去到嘅時候我仲要係搭,10,0
218,啫係巴黎降落之後呢我仲要搭火車去個城市度嘅,遮係巴嚟降落之後呢我仲要搭火車去個成市度嘅,21,3
219,咁之後再要有一架學校安排嘅一架的士呢,噉之後再要有一架學後安排嘅一架的士呢,18,2
220,再送我去學校嘅,再送我去學後嘅,7,1
222,係啦係啦,係喇係喇,4,2
223,但係即嗰啲可能語言上有可能有障礙呀,但係即嗰啲可能語然上有可能有障礙啊,17,2
224,或者係啫係我嗰陣時係真係我搵唔倒架的士嘅,或者係遮係我嗰陣時係真係我揾唔到𡃉的是嘅,20,5
225,咁去到嘅時候仲未放鬆倒囉我仲要搭火車啦,噉去到嘅時候重未放鬆度囖我仲要搭火車喇,19,5
226,跟住再要去搵的士啦,跟住再要去搵的士啦,9,0
227,咁搭完的士之後仲要搵學校啦,噉答完的是之後重要揾學後喇,13,7
228,啫係仲有好多野要要去顧慮住囉,遮係仲有好多嘢要要去顧慮住囉,14,2
229,所以就可能去到其實冇一個時候係可以完全放鬆啦,所以就可能去到其實冇一個時候係可以完全放鬆喇,22,1
230,去去抖下氣咁樣囉,去去頭下氣噉樣囖,8,3
231,都幾舒服嘅咁我住嗰度喺學校入邊嘅,都幾舒服嘅噉我住嗰度喺學後入邊嘅,16,2
232,咁我學校唔係好大㗎啫,噉我學後唔係好大𡃉啫,10,3
233,咁就去到嘅時候咁我亦都會搵,噉就去到嘅時候噉我亦都會揾,13,3
234,亦都搵到香港嚟嘅朋友囉,亦都揾到香港離嘅朋友囖,11,3
235,咁就去到有個照應咁樣囉,噉就去到有個照應噉樣囖,11,3
236,所以去到就好啲囉,所以去到就好啲囉,8,0
237,嗰個係首先佢係嗰啲嚟嘅,嗰個係手先佢係嗰啲離嘅,11,2
238,咁佢就有,噉佢就有,4,1
239,比較特別就係佢分兩種房,比較特別就係佢分兩種刷,11,1
240,一種呢就係咁就自己一個住,一種呢就係噉就自己一個住,12,1
241,有廚房同埋廁所嘅,有廚房同埋廁所嘅,8,0
242,咁另外我住嗰啲呢就叫做,噉另外我住嗰啲呢就叫做,11,1
243,咁佢就係一個大嘅房,噉佢就係一個大嘅房,9,1
244,入邊有一個大嘅廚房呢就八個人嘅,入便有一個大嘅廚房呢就八個人嘅,15,1
245,咁另外呢住嗰度呢就係有八間細嘅房,噉另外呢住嗰度呢就係有八間細嘅刷,16,2
246,每個房都有自己嘅廁所囉,每個摷都有自己嘅U所囖,11,3
247,所以我就係同其他七個人呢就去嗰個廚房啦,所以我就係同其他七個人呢就去嗰個廚房喇,19,1
248,但我自己有有自己房同埋自己廁所囉,但我自己有有自己房同埋自己廁所囉,16,0
249,係呀係呀,係啊係啊,4,2
250,幾方便同埋有啲私隱囉,幾方便同埋有啲私隱囉,10,0
252,乾淨啲乾淨啲係呀,乾淨啲乾淨啲係呀,8,0
253,其實通常都係自己煮自己食,其失通常都係自己煮自己食,12,1
254,我我有其他朋友住其他呢係有唔同嘅體驗嘅,我我有其他朋友住其他呢係有唔同嘅體驗嘅,19,0
255,啫係有啲人係真係晚晚都一齊煮嘅,遮係有啲人係真係晚晚都一齊煮嘅,15,1
256,晚晚都一齊食咁樣嘅,晚晚都一齊食噉樣嘅,9,1
257,但我嗰度可能,但我嗰度可能,6,0
258,啲人比較,啲人比較,4,0
259,啫係可能冇咁主動啦,遮係可能冇咁主動喇,9,2
260,咁就通常係自己煮完就自己食,噉就通常係自己住完就自己食,13,2
261,但係見到嘅時候都會傾兩句咁樣囉,但係見到嘅時候都會傾兩句噉樣囖,15,2
262,我嗰度有兩個中國嘅女仔啦,我嗰度有兩個中國嘅女仔喇,12,1
263,有一個意大利嘅男仔,有一個意大利嘅男仔,9,0
264,一個印度嘅男仔,一個印度嘅男仔,7,0
265,兩個法國人同埋一個加拿大嘅人囉,兩個法國人同埋一個加拿大嘅人囖,15,1
266,所以其實都幾唔同,所以其實都幾唔同,8,0
267,嗯係呀,嗯係喇,3,1
268,都有嘅啫我食過,都有嘅啫我食過,7,0
269,嗰個意大利男仔煮嘅一啲意粉咁樣啦,嗰個意大利男仔煮嘅一啲意粉噉樣喇,16,2
270,啫係少少嘅咁我亦都食過嗰兩個中國女仔整嗰啲麻辣火鍋,遮係少少嘅噉我亦都食過嗰兩個中國女仔整嗰啲麻辣火蝸,25,3
271,係呀啫係佢地有自己嘅煲自己嘅電磁爐自己嘅湯包咁樣囉,係呀遮係佢哋有自己嘅煲自己嘅電池U自己嘅湯包噉樣囖,25,6
272,咁就自己整囉,噉就自己整囖,6,2
273,係呀都幾勁㗎,係呀都幾勁𡃉,6,1
274,我有試過見到蜘蛛囉,我有試過見到蜘蛛囉,9,0
275,啫係佢唔係普通嘅蜘蛛佢都幾大隻嘅蜘蛛,遮係佢唔係普通嘅蜘蛛佢都幾大隻嘅支蛛,18,2
276,咁啫係譬平時見到蜘蛛呢會驚一陣但係都會處理到嘅,噉遮係屁平時見到蜘蛛呢會驚一陣但係都會儲理到嘅,23,4
277,但係嗰一下呢就係凌晨兩點幾,但係嗰一下呢就係零神兩點幾,13,2
278,咁我已經係瞓着咁,噉我已經係瞓着噉,8,2
279,當我啫係熱到瞓唔着,當我姐係熱到瞓唔着,9,1
280,咁我要起身去飲杯水呀去整啲野嘅時候呢,噉我要起身去飲杯水啊去整啲嘢嘅時候呢,18,3
281,我就開咗電話嗰盞燈,我就開咗電話嗰盞燈,9,0
282,咁我就好似感覺到我嗰個床啫係我枕頭上邊嗰個位呢,噉我就好似感覺到我嗰個床啫係我枕頭上便嗰個位呢,23,2
283,有啲野郁緊咁樣,有啲嘢郁𡁵噉樣,7,3
284,咁我初頭都冇冇乜為意我就企咗起身,噉我初頭都冇冇乜為意我就企咗起新,16,2
285,咁因為兩點鐘其實都好黑啦,噉因為兩點鐘其實都好黑喇,12,2
286,但係咁我就用手機嗰個電筒去照一照啦,但係噉我就用手機嗰個電筒去照一照喇,17,2
287,咁我見到貌似係昆蟲啦,噉我見到U似係昆蟲喇,10,3
288,咁我就開始驚咁我就開燈啦,噉我就開始驚噉我就開燈喇,12,3
289,咁就見到一隻都比較大嘅蜘蛛,噉就見到一隻都比較大嘅蜘蛛,13,1
290,而我應該同佢同一個位置瞓咗可能兩個鐘咁樣囉,移我應該同佢同一個位置瞓咗可能兩個鐘噉樣囖,21,3
291,咁就係呢呢一下最驚因為我隻手係完全可能已經掂到佢啦,噉就係呢呢一下最驚因為我隻手係完全可能已經掂到佢喇,25,2
292,或者佢已經去咗我個頭啦咁,或者佢已經去咗我個頭喇噉,12,2
293,啫係有好多呢啲野係諗住囉咁,遮係有可多呢啲嘢係諗住囖噉,13,5
294,最尾我去處理呢隻蜘蛛嘅時候都花咗可能半個鐘至一個鐘嘅時間囉,最尾我去儲理呢隻蜘豬嘅時候都花咗可能半個鐘至一個鐘嘅時間囖,29,3
295,係呀因為因為都比較緊張囉,係呀因為因為都比較緊張囉,12,0
296,同埋已經好夜咁我又唔想嘈到其他人,同埋已經好夜噉我又唔想嘈到其他人,16,1
297,所以又要搵啫係要要要搵下點樣處理囉,所以又要揾遮係要要要揾下點樣儲理囖,17,5
298,好似唔使嘅好似唔使,好似唔使嘅好似唔使,9,0
299,真係好好彩係唔使早起身,真係好好彩係唔使早起新,11,1
300,三點都未瞓呀係呀係呀,三點都未瞓呀係啊係呀,10,1
301,嗯,嗯,1,0
303,我覺得嗰邊係比較多啲係,我覺得嗰邊係比較多啲係,11,0
304,啲學生係主動啲啦,啲學生係主動啲喇,8,1
305,咁喺香港可能好多係,噉喺香港可能好多係,9,1
306,嗰個講咁我地聽或者抄咁就算㗎啦,嗰個講噉我哋聽或者抄噉就算𡃉嚹,15,5
307,但係去到嗰邊係真係比較囉,但係去到嗰邊係真係比較囖,12,1
308,同埋啫係啲學生係真係會舉手呀,同埋遮係啲學生係真係會舉手啊,14,2
309,問問題呀咁樣囉,問問題啊噉樣囖,7,3
310,係囉所以嗰度可能同香港有啲分別囉,係囉所以嗰度可能同香港有啲分別囖,16,1
312,都有嘅我覺我覺得喺嗰個環境可能會令到人地啫係更加主動囉,都有嘅我覺我覺得喺嗰個還警可能會令到人哋啫係更加主動囖,27,4
313,咁我有去主動問野嘅,噉我有去主動問嘢嘅,9,2
314,主動咗,主動咗,3,0
315,都,都,1,0
316,都有嘅但係我覺得值得注意嘅就係其實,都有嘅但係我覺得直得蛀意嘅就係其實,17,2
317,法國呢個呢個國家都比較特別囉,法國呢個呢個國家都比較特別囉,14,0
318,啫係其實啲人都可能啫係係有一部分嘅人可能喺其他國家嚟嘅,遮係其實啲人都可能啫係係有一部份嘅人可能还其他國家來嘅,27,4
319,會比較主動咁有啲當地學生都會主動啲嘅,會俾較主動噉有啲當哋學生都會主動啲嘅,18,3
320,但係整體上好多法國人其實,但係整睇上好多法國人其實,12,1
321,上堂都唔會係太過多講野囉,上堂都唔會係太過多講嘢囉,12,1
322,啫係佢地佢地會係比較比較,遮係佢哋佢哋會係比較俾較,12,4
323,做自己野多啲囉,做自己嘢多啲囖,7,2
324,會,會,1,0
325,係啦同埋好似唔係太,係喇同埋好似唔係太,9,1
326,過比心機落去聽咁樣囉,過俾心機落去聽咁樣囉,10,1
327,啫係當然有一部分嘅同學係比較主動係主動過香港好多嘅,遮係當然有一部份嘅同學係比較主動係主動過香港好多嘅,25,2
328,但係亦都有一批可能當地嘅學生係比較冇咁主動囉,但係亦都有一批可能當哋嘅學生係比較冇咁主動囖,22,2
329,所以都睇到個分別喺度,所以都睇到個分別喺度,10,0
331,有學法文,有學發文,4,1
332,都唔係有進步咗好多因為我去之前呢其實有一個短短地兩個月嘅法文啦,都唔係有進步咗好多因為我去之前呢其實有一個短短哋兩個月嘅發文喇,31,3
333,但係就唔係真係學到好多野嘅,但係就唔係真係學到好多嘢嘅,13,1
334,啫係學到可能啲好基本數目字呀字母呀,遮係學到可能啲好機本數目字呀自母呀,17,3
335,點樣點樣去介紹自己嗰啲野啦,點樣點樣去介紹自己嗰啲嘢喇,13,2
336,但係去到呢我其實讀咗個㗎啫,但係去到呢我其實讀咗個𡃉啫,13,1
337,咁當然學到少少野啦啫係我睇到睇得明,噉當然學到少少嘢喇姐係我睇到睇得明,17,4
338,日常生活見到嘅野啦或者係,日常生活見到嘅嘢喇或者係,12,2
339,去譬如去買餸嘅時候會講到呀但係,去譬如去買送嘅時候會講到啊但係,15,2
340,啫係真係出到去溝通嘅時候其實都有難度囉,遮係真係出到去溝通嘅時候其實都有難度囖,19,2
341,嗯好過冇囉,嗯好過冇囉,5,0
342,好過冇囉係呀,好過冇囉係啊,6,1
344,我以前有自學過西班牙文嘅,我以前有自學過西班牙文嘅,12,0
345,咁去大學嘅時候,噉去大學嘅時候,7,1
346,其實都有讀過兩個咁樣嘅,其實都有讀過兩個噉樣嘅,11,1
347,但係就當然因為好多年冇講啦,但係就當然因為好多年冇講喇,13,1
348,或者冇練習,或者舞練習,5,1
349,咁而家再學埋法文呢其實都有少少唔記得同埋撈亂咗囉,噉而家再學埋發文呢其實都有少少唔記得同埋撈亂咗囖,24,3
350,我諗都有間接上有接觸嘅,我諗都有間接上有接燭嘅,11,1
351,啫係譬如我平時聽嘅歌呀,遮係譬如我平時聽嘅歌啊,11,2
352,或者睇嘅戲其真都有可能係西班牙文或者法文嘅,或者睇嘅汽其實都有可能係西班牙文或者發文嘅,21,3
353,但係啫係日常生活呀或者係學啫係你喺書本上學嗰啲呢就其實真係唔係好記得啦,但係遮係日常生活呀或者係學啫係你喺書本上學嗰啲呢就其實真係唔係好記得嚹,35,2
354,我我諗,我我諗,3,0
355,我暫時嘅目標都係啲嘅嘅,我暫時嘅目錶都係啲嘅嘅,11,1
356,咁可能係意大利文呀咁樣囉,噉可能係意大利文啊噉樣囖,12,4
357,或者葡萄牙文咁樣囉但係,畫者葡萄牙文咁樣囉但係,11,1
358,我諗第一步應該都係搞掂咗法文同埋西班牙文先囉,我諗第一部應該都係搞掂咗發文同埋西班牙文先囖,22,3
359,如果唔係會再撈亂啲,如過唔係會再撈亂啲,9,1
360,我諗暫時最難學好似呢就係葡萄牙文,我諗站時最難學好似呢就係葡萄牙文,16,1
361,因為因為我有接觸少少嘅咁,因為因為我有接U少少嘅噉,12,2
362,但係我覺得佢同埋其他語言嗰啲分別實在太大啦,但係我覺得佢同埋其他語言嗰啲分別實在太大嚹,21,1
363,咁法文其實如果你用語音呀或者係,噉發文其實如過你用語音啊或者係,15,4
364,啫係寫嗰啲嗰啲串字嘅方法其實都有唔同,遮係寫嗰啲嗰啲串自嘅方法其實都有唔同,18,2
365,但係因為我讀過呢所以我就覺得好好似容易掌握多啲咁樣囉咁,但係因為我讀過呢所以我就覺得好好似容易長U多啲噉樣囖噉,27,5
366,葡萄牙文啫係相比下我就會覺得係好似好大分別咁樣囉,葡萄牙文啫係傷俾下我就會覺得係好似好大分別噉樣囖,24,4
367,係啦,係喇,2,1
369,睇下睇下得唔得囉,睇下睇下得唔得囖,8,1
370,我都想嘅我都想嘅但係,我都想嘅我都想嘅但係,10,0
371,都要睇下有冇機會同埋時間囉,都要睇下有冇機會同埋時候囖,13,2
373,嗯,嗯,1,0
374,我就冇去到葡萄牙嘅,我就冇去到葡萄牙嘅,9,0
