NUM,EXPECTED,CXF43A_qwerty,# characters,edit distance
57,咁咪好好嚴謹啊所有嘢都戴住個咁咪返工咁啊醫院裡邊亦都好少病人,抌咪好好嚴緊吖所有嘢都戴住個九十五噉咪返崗噉吖醫原裏邊亦都好少病人,30,12
58,咁亦都有隔籬個病房嘅同事有人中咗沙士囉,抌亦都有隔離個病房同時有人U咗莎士囖,19,7
59,咁啊都深刻嘅,抌吖都心黑𠸏,6,5
60,咁又唔係太差嘅因為其實你做好啲保護措施其實係嘅,噉又唔係太叉𠸏因為其實你走好啲保護U師其實係嘅,23,6
61,即係你做足晒著晒衣啊戴晒口罩啊洗手啊咁其實都唔係咁驚嘅,爹係你你做捉晒着晒啤啤机阿帶細好罩阿洗手吖噉其實都唔係咁驚嘅,27,14
62,那咁啊冇,打抌吖冇,4,3
63,可能做醫院啦唔係特別驚因為知道係乜嘢事啊嘛,朵能做醫院喇唔係特別驚因為知道係乜嘢事阿媽,21,4
64,係有返緊工喺度睇,底有返緊缸喺度睇,8,2
65,我記得晏晝食緊晏喺醫院睇嘅,我記得晏晝食緊晏喺醫院睇嘅,13,0
66,咁仲諗住冇事嘅因為當時個環境佢哋好似好輕鬆喺度傾計,抌重林住冇事嘅因為當時個還境佢哋好似好興鬆喺度傾偈,25,6
67,但係到我返到屋企放咗工夜晚居然都仲係綁架緊,但係到我番到屋企放咗工夜晚居然都重係綁𡃉緊,21,3
68,咁同埋覺得個氣氛唔同因為見到佢哋已經係㩧嗰啲玻璃窗咁就好擔心佢哋啦,抌同埋覺得個汽分唔同啦因為見到佢哋咦經係噉卜嗰啲玻璃窗噉就好擔心佢哋啦,33,8
69,即係覺得應該都好危險啦咁囉,爹係覺得應該都好危險拉噉囖,13,4
70,唔識,唔識,2,0
71,團結咗啊,斷結咗吖,4,2
72,又唔係好覺啦,豆唔係好覺啦,6,1
73,其實只不過大家有同一個話題啫,離實指不過大家有同一個話題啫,14,2
74,但係你話團結咗又唔係好好覺得喎,但係你話團結咗又唔係好好覺得囖,15,1
75,係囉只不過不停個個都係講緊呢個話題囉,第囉子不過不停個個都係講𡁵哩個話題囖,18,5
76,我即係我嘅長大香港啊,倒遮係我嘅獎大響講吖,10,6
77,點講你如果其實係好有機會嘅,點講你如果其獸係好有機會嘅,13,1
78,就你肯勤力讀書咧你就可以向上去搵到好嘅工作啊或者咁樣囉,豆你肯看力讀書囖你就可以向上去去搵到好嘅工作吖或者噉樣囖,27,7
79,同埋點講生活質數都嘅即係衣食住行嗰啲都冇問題嘅,動迷點講生活揤U都嘅啫係依食住恆嗰啲都都都冇問題嘅噉,23,10
80,係囉,第囉,2,1
81,睇電視,抵電視,3,1
82,得唔得㗎,得唔得架,4,1
83,睇電視點講我就鍾意睇電視同訓覺㗎啫喎,抵電視點講我就鍾意睇電視同瞓覺她砸喎,18,4
84,戲劇囉,哋劇囖,3,2
85,哦嗰陣時好睇啲,捣嗰陣時好睇啲,7,1
86,嗰陣時啲人做戲都好啲啦,朵陣時啲人做戲都好啲喇,11,2
87,同埋啲深入啲啊即係啲,溶埋啲心入啲阿姐啲,10,5
88,反映啲香港嘅嘅人嗰啲環境啊好多嘢嗰啲心理啊成日嗰陣時寫實啲囉啲戲,反影啲香港嘅嘅人嗰啲還境吖好多嘢嗰啲心理吖成日嗰陣時寫實啲囖啲戲,32,5
89,係啦依家就抄人哋嘅我覺得,第喇而家就抄人哋嘅我覺得,12,3
90,抄人哋韓國啊日本嗰啲冇乜所以冇咁好睇,U人哋韓國吖日本吖嗰啲冇乜所意冇咁好睇,18,4
91,係以前你你剩係應付到你學校俾你嘅嘅課程你已經以攞到成績咧好咧已經個條路已經好行但係依家唔會囉,第以前你你淨係應U到你學校俾你嘅嘅嘅貨情你已經二攞到情即囖好爹已經嗰條路已經好行但係而家唔會囖,46,14
92,依家係你要樣樣都要好叻囉,爹家係你要樣樣都要好叻囉,12,1
93,個個都偷步囉啲小朋友即係幼稚園就要識晒可能未返學就要識晒至以前唔係㗎嘛,個個都偷布囖啲小朋友啫幼U園就要即嗮可能未返學就要即晒至耳前唔係𠺢媽,35,11
94,可能未返學就已經識揸筆寫字咁樣,朵能未番學就已經即楂筆寫字咁樣,15,4
95,佢哋而家嗰個完全唔同囉學啲嘢又好深囉唔係以前我哋以前有時間玩囉即係以前我有時間睇電視囉我諗依家佢哋冇時間睇電視囉,佢哋而家嗰個唔完全唔同囖學啲嘢又好深喇同埋以前我哋有時間玩囖遮以前我有時間睇電視囖我林耳加佢哋冇時間睇電視囖,56,15
96,唔好,唔好,2,0
97,唔好太辛苦啦啲小朋友啲家長亦都太緊張啦,唔好太辛苦喇啲小朋有啲家長亦都太緊張啦,19,2
98,係啦因為以前生多啲小朋友個集中力唔會注意喺一個而家太少啦個個都一個或者兩個,第啦因運以前生多啲小朋友個習鐘力唔U住二一個而家太少吖個個都一個或者兩個,37,9
99,個個都希望佢哋好叻而唔想佢哋做呢啲辛苦嘅工所以就係咁㧬佢哋去唔理佢接唔接受到都㧬佢哋去學好多好多嘅嘢,唷個都希望佢哋好叻而唔想佢哋做依啲辛苦嘅工所以就係噉U佢哋去去唔理佢接唔接受到都U佢哋去學好多好多嘅嘢囖,50,7
100,唔准唔准出街過夜,唔准唔准出街過爺,8,1
101,你如果冇申報到係唔准嘅,几如果冇新報到係唔准嘅,11,2
102,一定要申報咗去唔可以話我記得呢個好深刻嘅係啦唔准嘅一早講咗,一定要新布咗去唔可以話我記得尼個好心刻嘅係吖唔准嘅一早講咗,29,5
103,係啦或者去得夜都要講低同埋話唔准唔返來訓,第吖或者去得夜都要講低同埋話唔准唔返來瞓,20,3
104,呢個我記得嘅,啲我記得嘅,6,2
105,唔知喎我冇犯過,唔知喎我冇飯過,7,1
106,真係唔知因為我冇犯過,因係唔知因為我冇飯過,10,2
107,有,豆,1,1
108,一次啦一次,一次啦,5,2
109,一次因為有一科唔合格啦,一次因為有一科唔合格囖,11,1
110,爭兩分我好記得所以以後都唔會唔合格嘅我,U量分我好記得所以以後都唔會唔合格嘅我,19,2
111,唔某程度有用㗎喎我覺得,嗯某程度有用𡃉喎我覺得,11,2
112,因為咁深刻你唸下我咁大個都仲記得乜野事俾人打喎,因為咁心黑你諗下我咁大個都重記得乜嘢事俾人打喎,23,5
113,哈哈同埋我以後都唔會唔合格喎咁你喺我個角度黎講我覺得有用嘅,同埋我以後都唔會唔合格喎噉你喺我個角度離講我覺得有用嘅,29,4
114,不過當然唔好打到即係輕微少少我可以接受既但係你話打到傷嗮當然唔得啦緊係唔可以啦,不過當然唔好打到即係即係即係興微少少我係接受嘅但係你話打到傷晒當然唔得喇梗係唔可以喇,39,12
115,有有,有有,2,0
116,咁又唔會因為本身我都食菜既,噉又唔會因為本身我都食菜嘅,13,2
117,所以就唔會成日同你講囉但係對我小朋友我就經常發生囉,所以就唔會成日同你講囖但係對我小朋友我經常發生囖,25,3
118,哈哈哈哈哈哈我成日叫佢食囉因為佢唔食,我成日叫佢食囉因為佢唔食,18,6
119,覺得係唔係呀係,覺得係唔係呀係,7,0
120,因為太縱囉其實都係父母做成㗎,因為太中囉其實都係父冇做成𡃉喎,14,4
121,即係因為乜嘢都以前果啲父母係由你會去跌既,即係因為咩嘢都以前嗰啲父冇係油你會去跌嘅,20,5
122,即係你會去明知到你可能會整到或者係都唔會特登阻止你等你去試啊每一樣野都等你試即係等如個茶壺熱你係都要摸叫極你唔好摸都要摸係都要摸摸完辣親你咪知係熱囉,即係你會去明知到你可能會整到或者係都唔會特登咗指你等你去試啊每一樣嘢都等你試即係等如個茶壺熱你係都要摸叫極你唔好摸都摸係都要摸摸完辣親你咪知係熱囖,74,5
123,但係而家既就唔係囉而家係點都唔會俾佢既咩都唔洗佢做既可能亦都有工人呢樣野咁所以個分別係係囉都幾大既,但係而家嘅就唔係囖而家係點都唔會俾佢嘅咩都唔使佢做嘅可能亦都有工人哩樣嘢噉所以個分別係係囖都幾大嘅,49,10
124,會,會,1,0
125,唔同阿媽講多啲,同阿媽講多啲,7,1
126,唔一個成功既人,嗯一個成功嘅人,7,2
127,唔佢學歷唔高但係佢好勤力咁做野,嗯佢學力唔高但係佢好勤力噉做嘢,15,4
128,跟住擁有佢既由打工擁有佢既鞋舖有佢自己既品牌既鞋同埋係一個好節儉但係又對啲小朋友好慷慨既即係好捨得好慳自己但係又好捨得買野俾啲小朋友,跟住U幼佢嘅油打公U有佢嘅鞋U有佢自己嘅品排嘅鞋同埋係一個好節U但係又對啲小朋友好红蓋嘅即係好寫得好慳自己但係又好寫得買嘢比啲小朋友,66,19
129,即係會比最好既生活佢既小朋友囉,即係會俾最好嘅生活佢嘅小朋友囖,15,4
130,所以我好滿足有個咁既爸爸,所以我好滿捉有個噉嘅爸巴,12,4
131,媽媽呢都係一個好好既媽媽,嫲媽呢都係一個好好嘅嫲媽,12,3
132,為左屋企為左小朋友都係即係用盡嗮佢既時間呀心機呀去照顧好佢既屋企囉同埋好佢既先生啊即係我爸爸,為咗U企為咗小朋友都係即係用盡晒佢嘅時間啊心機啊去照顧好佢嘅U企囖同埋好佢嘅先生啊即係我爸巴,46,12
133,所以係喇好幸福既我覺得,所以係喇好杏幅嘅我覺得,11,3
134,係絕對係因為生活水平高左,係絕對係因為生活水蘋高咗,12,2
135,大部分亦都有少部分係唔赤貧有既但係大部分都係比較係中上,大部份亦都有小部份係即係唔尺U有嘅但係大部份都係比較係中上,27,9
136,因為佢地已經有教育果個即係佢地有受過教育啊,因為佢哋已經有教肉嗰個即係佢哋有受過教肉啊,21,5
137,咁所以變左呢好多野都會為個小朋友去唸埋囉,噉所以變咗呢好多嘢都會為個小朋友去諗埋囖,20,5
138,咁所以佢地係幸福架咩都唔洗唸架有父母同佢安排架喇咁囉,噉所以佢哋係行幅嘅咩多唔使諗嘅有父冇同佢安牌𡃉嚹噉囖,26,15
139,唔都有既,嗯都有嘅,4,2
140,咁咁當然希望起碼都中學畢業啦,噉噉當然希望起嗎都中學畢頁喇,14,5
141,咁亦都希望就算讀唔得好既都有一個即係有有可以揾到份工,噉亦都希望就算讀唔得好嘅都有一個即係有有可以揾到份工,26,2
142,咁所以就叫左我學鋼琴囉咁就起碼可以讀書果度唔好咁起碼鋼琴可以做老師咁都得咁囉,噉所以就叫咗我學鋼琴囖噉就起嗎可以讀書嗰度唔好噉起馬鋼琴可以做老師噉都得噉囖,38,11
143,阿媽咪想我做護士囉,阿媽咪想我做護士囖,9,1
144,咁就真係做左護士囉哈哈哈哈,噉就真係做咗護士囖,13,7
145,老一輩㗎呢就好識為將來打算嘅佢哋會好節儉嘅,老一背𡃉呢就好識慧張來打算嘅佢哋會好節U嘅,21,5
146,佢地會即係會希望唔字俾後代留一啲嘢俾後代或者,佢哋會即係會希望唔自比後代有留一啲嘢比後代或者,22,5
147,但係而家呢一輩呢就未必既即係可能會好受唔到啲吃喝玩樂啊或者儲蓄啊理財方面無佢地以前果輩咁做得咁好囉,但係而家哩一背呢就未必嘅即係可能會好受唔到啲很喝換落啊或者UU啊利U方邊冇佢哋意前嗰貝咁做得咁好囖,49,17
148,可能以前佢地真係太即係佢地真係辛苦每一蚊每一毫都係努力囉但係而家未必係,可能以前佢哋真係太即係佢哋真係辛苦腿一蚊每一U都係腦力囖但係而家未必係,35,6
149,可能你係喺炒賣即係買股票啊或者係一啲地方度賺到翻黎咁樣咁所以理財方面我覺得會有分別囉,可能你係喺炒賣即係買股票啊或者係一啲地方度賺到返來噉樣噉所以理U方邊我覺得會有分別囖,42,7
150,唔自我愛自由啦,嗯字我愛字油喇,7,5
151,成日都要希望自己可以揸到主義啦但係有時有啲野未必係啱但係佢地又有時唔識得同啲問人地既意見啊或者,成日都要希望自己可以揸到主意喇但係有時有啲嘢未必係啱但係佢哋又有時唔識得同啲問人哋嘅意見啊或者,47,6
152,可能真係無乜兄弟姊妹所以比較係自我啲咁囉即係依啲而家時下既年青人,可能真係冇乜兄弟姊妹所意俾較係自我啲噉囖即係依啲而家時下嘅年青人,32,6
153,六歲囉,六歲囉,3,0
154,好近五五分鐘就到喇,好U唔唔分鐘就到喇,9,3
155,行過隔離街哈哈哈哈,行過隔離街,9,4
156,男女校,啱女校,3,1
157,有英文老師,有英文老師,5,0
158,吳,摁诶,1,2
159,係喇洗咪講埋點解架呢,係喇使唔使講埋點解㗎呢,10,4
160,點解呢佢呢對英文既要求好高既,點解呢佢呢對英文嘅要求好高嘅,14,2
161,咁當時我英文呢就唔達標既,噉當時我英文呢就唔達標嘅,12,2
162,咁佢呢就會佢直頭抽左時間就揾左幾個比較即係聽話但係又唔達標既去教囉,噉佢呢就會佢直頭抽咗時間就揾咗幾個比較即係聽話但係又唔達錶嘅去覺囖,33,7
163,但係好惡架噃佢鬧你係垃圾架喎會哈哈哈哈哈,但係好鱷架噃佢鬧你係垃圾架喎會,20,6
164,即係但係又咁樣講就係經佢咁樣咁樣鬧完之後呢果然個英文真係進步到可以攞到去到架由唔合格去到,即係但係又咁樣講就係經佢噉樣咁樣鬧完之後呢果然個英文真係俊步到可以攞到去到𡃉喎油唔合隔去到,44,6
165,所以我好記得即係雖然你大個左就知道呢個老師其實佢咁勞氣咁鬧你就係為你好囉,所以我好記得即係雖然你大個咗就知道哩個老師其實佢咁勞氣噉鬧你就U你好囖,36,6
166,所以我好記得呢個老師係喇,所以我好記得哩個老師係嚹,12,2
167,亦都好多謝佢,亦都好多謝佢,6,0
168,都係好大聲咁鬧人囉,都係好大聲噉鬧人囖,9,2
169,因為以前已經到我個年代已經唔會有體罰架喇,因為以前已經到我個年代已經唔會有睇罰𡃉嚹,20,3
170,即係老師唔會有體罰所以都係好大聲咁鬧人囉,即係老師唔會有睇U所以都係好大聲噉鬧人囖,20,4
171,咁我地個年代又無乜架因為好乖架,噉我哋個年代又冇乜𡃉喎因為好乖架喎,15,6
172,真係好乖架老師話乜就乜野架叫你企就企叫你行就行,真係好乖架喎老師話乜就乜嘢架叫你企就企叫你行就行,23,2
173,所以無乜恐怖野可能我讀啲學校都比較乖,所以冇乜恐部嘢可能我讀啲學校都比較乖,18,3
174,咁當然會既,噉當进會𠸏,5,3
175,因你一定係唔鬧人果啲比鬧人果啲好啦,因你一定係唔鬧人嗰啲比鬧人嗰啲好喇,17,3
176,咁但係大個咪知道原來唔係架囉,噉但係大個咪知道原來唔係𡃉囖,14,3
177,即係有要求既老師係同無要求既老師有分別有要求既老師其實先至係好既老師囉,即係有腰求嘅老師係同冇腰求嘅老師有分別嘅有腰求嘅老師其實先至係好嘅老師囖,35,10
178,不過細個當然唔知啦,不過細個當然唔知喇,9,1
179,唔咁呀唔都有既都有既叻果啲打波叻就自然去左校隊啦,嗯噉呀唔都有𠸏都有𠸏叻嗰啲嚹玻U就自然去咗校隊喇,24,10
180,讀書叻果啲就自然去左答問大賽答問比賽啦,讀書叻嗰啲就自然去咗搭問大菜搭問俾菜啦,19,7
181,咁所以都會有既,噉所以都有嘅係嚹,7,5
182,唔咁又唔會架始終運動果啲人鍾意走黎走去果啲人咪互動多囉,嗯噉又唔會𡃉喎次終運動嗰啲人鍾意走來走去嗰啲人咪護動多囖,27,10
183,讀書果啲人鍾意坐係度咁果啲又果班人有果班互動多囉但係你話佢地兩班一齊會唔會好互動我就覺得唔未必,讀書嗰啲人鍾意錯喺度噉嗰啲有嗰班護U多囖但係你話佢哋兩班一齊會唔會好護動我就覺得唔未必,47,15
184,咁都會有既未必話唔會既可能因為每個唔同性格其實都可以都有架嘛,噉都會有𠸏未必話唔會𠸏可能因為每個唔同性格其實都可以都有𠺢嗎,30,5
185,即係有個可能好好活潑既好靜既但係可能佢都可以做到好朋友既咁我又唔抹煞無呢個可能性既,即係有個可能好好活潑嘅好靜嘅但係可能佢都可以做到好朋友嘅咁我又唔U殺冇哩個可能性嘅,41,8
186,唔比較靜啲嘅我個組別係,嗯比較靜啲嘅我個早別係,11,2
187,唔唔係好做運動既組別哈哈哈哈哈,唔唔係好做運動嘅早別哈哈哈哈哈,15,2
188,咁都係真係傾下計啊食下野啊咁就講下啲電視節目啊果啲多,噉都係真係傾下計啊食下嘢啊噉就講下啲電視節目啊嗰啲多,26,4
189,咁呢我個組別就係咁哈哈哈,噉呢我嘅早別就係噉哈哈哈,12,4
190,小學定係中學呀,小學定係中學啊,7,1
191,都無乜所謂架,都冇乜所謂𡃉,6,2
192,中學呀,中學呀,3,0
193,中中學形容下我個學校點樣話,中中學營容下我個學校點樣話,13,1
194,純樸既,純U嘅,3,2
195,咁就因為個個都係普通基層既既小朋友即係唔會話有啲好有錢啊果啲咁,噉就因為個個都係普通機層嘅小朋友即係唔會話有啲好有錢啊嗰啲噉,31,6
196,咁就但係就鼓吹讀書多既,噉就但係就古吹讀書多嘅,11,3
197,所以點解都係比較靜啲就係咁解,所意點解都係比較靜啲就係噉解,14,2
198,咁就都係一間乖咁啲老師都好好既即係啲老師都會照顧即係都關心啲學生唔係話淨係掛住教書呀或者咁樣咁,噉就都係一間乖噉啲老師都好好嘅即係啲老師都會照顧即係都關芯啲學生唔係話淨係掛住教書啊或者噉樣噉,47,7
199,所以都係一間好既學校囉果間都係,所以都係一間好嘅學校囖嗰間都係,15,3
200,深刻既趣事呀,深黑嘅翠事呀,6,3
201,深刻既趣事有無乜,深黑嘅翠事又冇乜喎,8,6
202,好平淡架咋哈哈哈哈哈,好平啖𡃉咋喎呵呵呵呵哈哈哈,10,7
203,真係無乜無乜深刻既趣事,真係冇乜冇乜心黑嘅翠事喎,11,7
204,都係平淡咁樣就過左架喇,都係蘋大咁樣就過咗𡃉嚹喎,11,6
205,我呀我鍾意啲嚴啲嘅,我呀我鍾意啲炎啲嘅,9,1
206,因為我覺得對佢哋有要求到佢哋第日出黎個社會做事就會明白到唔係你求其就可以去完成一啲期望你嘅嘢囉,因為我覺得對佢哋有腰求到佢哋第日出離瀉會做試就會明百到唔係你求其就可以去完成一啲其望你嘅嘢囖,47,8
207,咁所以我選擇即係會可能會真係比較嚴啲啊個功課量會多啲呀,噉所以我選U嘅係會可能會真係比較炎啲啊個功課亮會多啲啊,27,6
208,即係果一啲學校囉因為太寬鬆我覺得佢地其實因為學校其實中學黎講就係一個社會既小縮影黎架嘛其實,即係嗰啲學校囖因為太歡鬆我覺得佢哋其實因為學校其實中學離講就係一個瀉會嘅小U影離𠺢嗎其實,45,12
209,咁所以比佢地知道唔係每一樣你是但就可以過既就會好啲可能呢個係我我本身係囉既要求囉,噉所以俾佢哋知道唔係U一樣嘢你是但U可以過嘅就會好啲可能哩個係我我本身係囖嘅要求囖,40,11
210,有關係,有關係,3,0
211,覺架覺架因為你起碼去間好啲既學校佢一定會對學生無論即係果個學業上係一定會有比較高既要求,角架覺㗎因為你起碼去間好啲嘅學校佢一定唔會對學生無論即係嗰個學業上係一定會有比較高嘅要求,43,6
212,咁自然你身邊果啲學生都係都係會比大部分都會係真係去學果個學習會濃厚啲囉,噉自然你新邊嗰啲學生都係都係會俾大部份都會係即係去學嗰個學習會農后啲囖,35,10
213,如果你去間普通啲或者係比較雜啲人都唔鍾意讀書既我覺得都幾有都會比啲同學影響到囉,如果你去間普通啲或者係比較習啲人都唔鍾意讀書嘅我覺得都幾有都會俾啲同學影響度囖,39,5
214,以前就出黎搵工有經驗會好啲但係而家就唔同喇而家而家因為無好似大學已經係最低果個門㩜咁所以無辦法而家你一定要選擇留係學校耐啲,意前就出離揾工有經驗會好啲但係而家就唔同嚹而家而家因為你好次大學意經係最低嗰個門U噉所以無辦法而家你一定都要筍U留喺學校耐啲,61,14
215,哇哈哈哈,嘩哈哈哈,4,1
216,最高而家讀完大學喇已經,最高而家讀完大學喇意經,11,1
217,即係係喇咁囉,即係係嚹噉囖,6,3
218,護理系係啦,嗯梨係係喇,5,4
219,唔係哈哈哈哈哈哈一啲都唔嚴因為你已經有自自主能力架啦嘛有自制,唔係哈哈哈哈哈一啲都唔嫌因為你意經有自自煮能力𡃉喇嗎有自掣,30,8
220,咁大學又無理由仲要抓住你隻手我要你背呢樣果樣唔可能囉所以大學唔嚴,噉大學又務理由重要捉住你隻手我要你背哩樣背嗰樣唔可能囖所意大學唔炎,32,10
221,唔辛苦既不過又穩定,嗯辛苦嘅不過又穩定,9,2
222,人工好穩定亦都唔錯,人工好揾定亦都唔錯,9,1
223,但係辛苦既就係要輪班咁就有時要日夜顛倒,但係辛苦嘅就係要倫班噉就有時要日夜癲到,19,5
224,咁當你年紀大既時候就可能身體上就有啲吃力喇開始咁囉,噉當你年紀大嘅時候就可能身睇上就有啲吃力嚹開始噉囖,25,6
225,教鋼琴,教鋼琴,3,0
226,因為護士學校未收,因為護士學校未收,8,0
227,咁又有又考左已經有鋼琴教鋼琴果個資歷,噉又有又考咗意經有鋼琴教U琴嗰個支力,18,7
228,咁所以就去左教鋼琴先既係喇,噉所以就去咗教U琴先嘅係嚹,13,5
229,哦應該都三個月到啦因為等中學放榜嘛,哦應該都三個月度喇因為等中學放綁吖嗎,17,5
230,咁護士學校收左咁所以就走左去讀護士即係做學徒喇即係學以前我地係學徒制架嘛護士學生係喇果陣時,噉護士學校收咗噉所以就走咗去讀護士即係做學圖嚹即係學意前我哋係學途制𠺢嗎護士學生係嚹嗰陣時,45,13
231,護做學童果陣時計唔計呀,護做學同嗰陣時計唔計啊,11,3
232,都計呀果陣時僅係差啦,都U呀嗰陣屎梗係叉喇,10,6
233,即係又辛苦啦又要讀書啦又要返工啦又要做實習啦又要比人鬧啦果段時間係辛苦不過做護士係必經既無辦法係喇,即係又辛苦喇有要讀書喇又要返工喇又要做實集啦又要俾人鬧喇嗰段嘅時間係辛苦不過做護士係必經嘅冇辦法嘅係嚹,49,13
234,果個年代而家就唔同啦而家係大學制吖嘛因為係喇咁囉,嗰個年代而家就唔同嚹而家係大學製吖嗎因為係嚹噉囖,24,7
235,哈哈哈哈哈哈理想既工作哈哈哈哈唔洗做哈哈哈哈,哈哈哈哈哈累想嘅工作哈哈哈哈唔使做哈哈哈,22,5
236,算唔算哈哈哈,算唔算哈哈哈,6,0
237,退休囉,退休囉,3,0
238,早啲可以退休,早啲可以退休,6,0
239,但係又可以有我而家既生活質素真係好困難,但係又可以有我而家嘅生活質素真係好困難,19,1
240,有錢呀有錢有錢我唸唔做喇,有錢呀有錢有錢我諗唔做嚹,12,2
241,哈哈會揾翻我既生活生活咩呀果啲叫做,哈哈會揾返我嘅生活生活咩嗰啲叫做,17,4
242,唔係係啱唔啱呀係喇哈哈哈哈哈啱唔啱,唔係係啱唔啱呀係喇哈哈哈哈啱唔啱,17,1
243,係咪定係係數量係喇係喇,係咪定係係數諒係嚹係嚹,11,3
244,係,係,1,0
245,係,係,1,0
246,覺得係啱架喎,覺得係啱架喎,6,0
247,因為如果你有細路哥其實一定由媽媽照顧睇住佢成長係一定會比工人照顧好囉,因為如果你有細路哥其實一定油嫲媽照顧睇住佢成長會俾公人照顧好囖,34,8
248,所以我贊成如果經濟上許可,所意我贊成嘅如果經掣上佢可係喇,12,6
249,有有有有有,有有有有有,5,0
250,咁佢地既小朋友普遍黎講我覺得都係乖既,噉佢哋嘅小朋友普遍離講我覺得都係乖嘅,18,5
251,即係同埋都係嗰個媽媽都係需然辛苦但係都開心既其實唔會比返工即係舒服架,即係同埋都係嗰個嫲媽都係需然辛苦但係都開心嘅其實唔會俾返工即係舒服𡃉,34,4
252,其實佢地都仲辛苦過因為佢地一日假都無得放架其實,其實佢哋都重伸苦過因為佢哋一日𡃉都無得放假其實,23,6
253,主公哈哈哈哈哈哈,煮工哈哈哈哈哈哈哈哈,8,4
254,家哦咁我接受唔到喎,家誒噉我接受唔到喎,9,2
